,Botanical Name,Common Names,Plant Type,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Native Area,Toxicity,Family Name
857,Hamamelis × intermedia 'Arnold Promise','Arnold Promise' witch hazel,Deciduous flowering shrub,Full sun to part shade,"Average, medium-moisture well-drained soil",4.5 to 6.5 (acidic; but will tolerate neutral or slightly alkaline soil),Late winter or early spring,Yellow,Hybrid plant; parents are native to Japan and China,,
997,Delphinium elatum 'Black Knight',"'Black Knight' delphinium, candle larkspur",Herbaceous perennial,Full,"Moist, well-drained, fertile",Neutral to alkaline (7.0 to 8.5),"Summer, fall",Dark purple,"Europe, Asia","Toxic to humans, animals",
386,Acer palmatum 'Bloodgood','Bloodgood' Japanese maple,Tree,"Full, partial","Clay, loamy, sandy, well-drained","Neutral, acidic",Summer,,Asia,,Aceraceae
688,Malus domestica,'Early Harvest' apple,"Tree, fruit",Full,Moist but well-drained,"Acidic, neutral","Spring, summer","White, pink",North America,Toxic to pets.,Rosaceae
822,Rhododendron 'Golden Oriole','Golden Oriole' azalea,Deciduous flowering shrub,Full sun to part sun,"Moderately rich, well-drained, evenly moist",4.5-5.5,Early spring,Orange and yellow,NA; hybrid with genetic parentage in North America and Asia,Toxic to humans and pets,
1065,Syringa pubescens subsp. patula 'Miss Kim',"'Miss Kim' lilac, Manchurian lilac",Flowering deciduous shrub,Full sun,Loamy,Neutral to slightly alkaline (pH 7.0–8.0),Spring to early summer,Lavender-purple,"Eastern Asia (Korea, Manchuria)",,
848,Hibiscus 'Perfect Storm',"'Perfect Storm' hardy hibiscus, rose mallow, swamp mallow",Herbaceous perennial,Full,"Rich, medium-to-wet moisture",Slightly acidic to neutral,Late summer,White with pink and red tinges,"Hybrid cultivar, no native range; parent species native to North America",,Malvaceae
24,Paeonia lactiflora x Paeonia officinalis 'Red Charm' (or simply Paeonia 'Red Charm'),'Red Charm' peony,Herbaceous perennial,"Full, partial","Moist but well-drained, loamy",Slightly acidic to neutral,"Late spring, early summer","Red, dark red","Nursery hybrid; parent species native to Europe, Asia","Mildly toxic to humans, pets",Paeoniaceae
26,Acer palmatum var. dissectum 'Red Dragon',"'Red Dragon' Japanese maple, laceleaf maple, laceleaf weeping maple",Tree,Partial,Loamy,Acidic,Spring,Red,"Cultivar, no native range",,Sapindaceae
33,Acer rubrum 'Franksred','Red Sunset' maple,Deciduous tree,"Full, partial","Rich, moist but well-drained",Acidic to slightly acidic (4.5 to 6.5),Spring,"Red on the female, yellow on the male (not showy)",Nursery cultivar; Acer rubrum is native to North America,,Sapindaceae
347,Cornus kousa 'Wolf Eyes',"'Wolf Eyes' dogwood, 'Wolf Eyes' Chinese dogwood",Flowering deciduous tree,Full sun to part shade,"Rich, humusy, well-drained soil",5.5 to 7.0 (slightly acidic to neutral),May to June,Pinkish white,"Japan, China, Korea",,
