,web-scraper-order,web-scraper-start-url,link,link-href,image-src
1321,1667847670-17092,https://www.thespruce.com/plants-a-to-z-5116344,Abelia Abelia,https://www.thespruce.com/abelia-growing-guide-5216289,https://www.thespruce.com/thmb/oA9Bq1QgujDJeCQtI4_wifWVFU4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/abelia-growing-guide-5216289-hero-bcca3a9260ae44109c507904c233de62.jpg
1320,1667847667-17091,https://www.thespruce.com/plants-a-to-z-5116344,Acoma Crape Myrtle Lagerstroemia x 'acoma',https://www.thespruce.com/growing-acoma-crape-myrtle-5076300,https://www.thespruce.com/thmb/Sc54Y1EEq_WI3mAkKS_7I6AjQl4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-acoma-crape-myrtle-5076300-hero-59a15d05a4b246489f5add176c914c2d.jpg
1319,1667847665-17090,https://www.thespruce.com/plants-a-to-z-5116344,Aeonium Aeonium,https://www.thespruce.com/growing-aeonium-plants-1402873,https://www.thespruce.com/thmb/iXIPd9Hklebxj9vR_jHGQVnr_ac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KaraRileyAeoniums-13-1c0b63c195bf43a1a841c2cd7fe49b58.jpg
1318,1667847662-17089,https://www.thespruce.com/plants-a-to-z-5116344,Aerangis Orchids Aerangis,https://www.thespruce.com/grow-aerangis-orchids-1902580,https://www.thespruce.com/thmb/4SPsqza4RH8j5Gp_B2CyePr7JX0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-aerangis-orchids-1902580-hero-74ae669f18a440d5a9aeb768a02a2b62.jpg
1317,1667847660-17088,https://www.thespruce.com/plants-a-to-z-5116344,African Daisy Osteospermum x hybrida,https://www.thespruce.com/growing-and-caring-for-african-daisies-1402912,https://www.thespruce.com/thmb/9_obEgwLX2nxDyXH1PvMbTRsah0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-and-caring-for-african-daisies-1402912-17-a4248dc4bd8746bdb06e7404c51beaa5.jpg
1316,1667847657-17087,https://www.thespruce.com/plants-a-to-z-5116344,African Fern Pine Afrocarpus gracilior,https://www.thespruce.com/growing-fern-pine-in-home-garden-3269272,https://www.thespruce.com/thmb/DsBTj6otR9Cu7xQx7vEVSMBSXAw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-fern-pine-in-home-garden-3269272-hero-9abb420aa7034feeaec5fae03a44159b.jpg
1315,1667847655-17086,https://www.thespruce.com/plants-a-to-z-5116344,African Mask Alocasia x amazonica,https://www.thespruce.com/amazon-elephants-ear-alocasia-amazonica-overview-1902737,https://www.thespruce.com/thmb/6hVGuwt2vtOd27lx8dmNdO4q_e4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/amazon-elephants-ear-alocasia-amazonica-overview-1902737-01-610f1a4b7d59467580be5acc4788aeee.jpg
1314,1667847652-17085,https://www.thespruce.com/plants-a-to-z-5116344,African Milk Tree Euphorbia trigona,https://www.thespruce.com/african-milk-tree-profile-4846360,https://www.thespruce.com/thmb/8rPxJmG80xl7iGGtnQ4aJTg7-QU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/african-milk-tree-profile-4846360-hero-35341f159a5f4ce891a4d79b29b0aec0.jpg
1313,1667847649-17084,https://www.thespruce.com/plants-a-to-z-5116344,African Spear Plant Sansevieria cylindrica,https://www.thespruce.com/grow-sansevieria-cylindrica-1902732,https://www.thespruce.com/thmb/wwpdlokKA4nZvFgIjJJ5QTJEi8s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-sansevieria-cylindrica-1902732-HERO-d9060791adcf4da49270b3413c527be6.jpg
1312,1667847646-17083,https://www.thespruce.com/plants-a-to-z-5116344,Agastache Agastache,https://www.thespruce.com/agastache-plant-profile-5191192,https://www.thespruce.com/thmb/5szfIrlJ822GhIlicPkxyAo5frw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/agastache-plant-profile-5191192-hero-c66352182de4440bb9cf2f5c8776dc91.jpg
1311,1667847644-17082,https://www.thespruce.com/plants-a-to-z-5116344,Agave Agave,https://www.thespruce.com/agave-tips-for-growing-this-easy-succulent-1402874,https://www.thespruce.com/thmb/AL71R6-YfP77DGaWEfMmeIuOnyw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/agave-4-4edb9dd7db334fa59ff1ee445d7ed37c.jpg
1310,1667847641-17081,https://www.thespruce.com/plants-a-to-z-5116344,Aglaonema Pictum Tricolor Aglaonema Pictum Tricolor,https://www.thespruce.com/aglaonema-pictum-tricolor-care-guide-6362586,https://www.thespruce.com/thmb/evYlkcdeR7aRDPvIOL2kXKoNMig=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-1290844633-024f5012ad4440b3acdf99ad18a66195.jpg
1309,1667847639-17080,https://www.thespruce.com/plants-a-to-z-5116344,Air Plant Tillandsia cacticola,https://www.thespruce.com/growing-tillandsia-cacticola-5085075,https://www.thespruce.com/thmb/4-Uvcz6-a4mmiaVurKrBWTO_w-A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-tillandsia-cacticola-5085075-04-6c12c37bbfd44497a90e3b26f4cf015a.jpg
1308,1667847636-17079,https://www.thespruce.com/plants-a-to-z-5116344,Air Plant Tillandsia kolbii,https://www.thespruce.com/growing-tillandsia-kolbii-5085071,https://www.thespruce.com/thmb/nWRhL5Srz0k-bOQ1TZkTlCaSX54=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-tillandsia-kolbii-5085071-hero-1aada0c64505436dbcbc38c5d29f1c23.jpg
1307,1667847633-17078,https://www.thespruce.com/plants-a-to-z-5116344,Air Plant Tillandsia stricta,https://www.thespruce.com/growing-tillandsia-stricta-5085259,https://www.thespruce.com/thmb/R__eFFDW-acalQ4m0bpS7n81P7k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-tillandsia-stricta-508525902-a068507d774e48cd95bcc9b6ca9e5c67.jpg
1306,1667847631-17077,https://www.thespruce.com/plants-a-to-z-5116344,Ajuga Ajuga reptans,https://www.thespruce.com/ajuga-or-bugleweed-plants-2132213,https://www.thespruce.com/thmb/PtHIHHL-KftGB9OaRUmRb6AsG2c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/ajuga-or-bugleweed-plants-2132213-04-bea7c3b021bd4021b27948689b354b86.jpg
