,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
0,Abelia,Abelia,Caprifoliaceae,Shrub,"2-10 ft. tall, 2-8 ft. wide","Full, Partial","Loamy, Moist but well-drained","Acidic, Neutral","Spring, Summer, Fall","Pink, Yellow, White","4-11, USA",Asia,
1,"Giant hyssop, hummingbird mint, licorice mint","Agastache rupestris, Agastache foeniculum, etc",,Herbaceous perennial,3 to 5 ft. tall,Full sun,"Lean soil, well-drained",Slightly acidic,Summer,"Various (blue,purple, red, orange, pink, white)",3 to 10 (USDA) (depends on variety),"North America, Asia, South America",
2,"Batik iris, Batik German iris, Batik bearded iris",Iris germanica 'Batik',,Herbaceous perennial,24 inches in height,Full sun,"Friable, evenly moist, and well-drained",Neutral,May,"Royal purple, with white blotches",4 to 9,The eastern Mediterranean,
3,Quinoa,Chenopodium quinoa,,Herbaceous annual,4 feet tall,Full sun,"Loamy, well-draining, fertile",6.0-7.5,Summer,"Insignificant, apetalous",4+,South America,
4,"Radish, common radish, garden radish, rabone",Raphanus sativus,Brassicaceae,"Annual, vegetable",6 - 8 inches tall,Fun sun,"Loamy, sandy, moist, well-drained","Acidic, neutral (6 to 7)",Summer,,2–11 (USDA),Asia,
5,Rain Lily,Zephyranthes candida,Amaryllidaceae,Bulb,6–12 inches,Full sun,Average to rich,Neutral or mildly acidic,"Summer, fall","White, pink, or orange",7–11 (USDA),South America,
6,"Rainbow eucalyptus, rainbow gum, Mindanao gum",Eucalyptus deglupta,Myrtaceae,Tree,"Up to 100 ft. tall, 60 - 100 ft. wide",Full sun,Moist but well-drained,"Acid, Neutral",Varies,White,"10-11, USA",Malesia and Papuasia,
7,"Ramps, wild leeks",Allium tricoccum,,Bulb-forming perennial,6 to 8 inches tall (leaves only),Shade to partial shade,Loamy,Neutral (6.8 to 7.2),Spring,Pink,4 to 7,North America,
8,Rat tail cactus,Aporocactus flagelliformis,Cactaceae,Cactus,3-6 ft. long,Full,Well-drained,Acidic,"Spring, summer","Red, pink, orange",10-11 (USDA),Central America,
9,"Calathea, prayer plant, zebra plant, rattlesnake plant, peacock plant",Calathea,Marantaceae,"Herbaceous, perennial","1–2 ft. tall, 1–2 ft. wide","Partial, shade","Loamy, moist, well-drained","Acidic, neutral","Spring, summer","Purple, yellow, white",11–12 (USDA),"Central America, South America",
10,"Rattlesnake plantain, jade orchid",Goodyera,,Perennial,1–2 ft. tall and wide (on average),Partial,"Rich, moist, well-drained","Acidic, neutral","Summer, fall",White,Varies among species,"Europe, Africa, North America, Central America, Asia, Australia",
11,"Rattlesnake plant, prayer plant, rattlesnake calathea","Goeppertia insignis, formerly Calathea lancifolia",Marantaceae,Perennial,"9–20 in. tall, 9–18 in. wide",Partial,Moist but well-drained,"Acidic, neutral",Spring,Yellow,11b-12b (USDA),South America,
12,Red buckeye tree,Aesculus pavia,,Ornamental tree,"15-20 feet high, 15-30 feet wide","Full sun, partial shade","Acidic, moist well-drained soil",5.5-7.5,Spring,Red,06-Sep,"Illinois, North America",
13,Beaked hazelnut,Corylus cornuta,,Deciduous shrub,12' tall,Full sun,Well-drained,6.8-7.2,Spring,"Yellow catkins (male), red flowers (female)",03-Aug,North America,
14,'Red Charm' peony,Paeonia lactiflora x Paeonia officinalis 'Red Charm' (or simply Paeonia 'Red Charm'),Paeoniaceae,Herbaceous perennial,"3 ft. tall, 3 ft. wide","Full, partial","Moist but well-drained, loamy",Slightly acidic to neutral,"Late spring, early summer","Red, dark red",3–8 (USDA),"Nursery hybrid; parent species native to Europe, Asia","Mildly toxic to humans, pets"
15,Red currant,Ribes rubrum,Grossulariaceae,Fruit,"Three to five feet tall, three to six feet wide","Full sun, partial shade","Loamy, well-drained",Slightly acidic (6.2 to 6.5),Spring,Light green,"3-7, USDA",Europe,
16,"'Red Dragon' Japanese maple, laceleaf maple, laceleaf weeping maple",Acer palmatum var. dissectum 'Red Dragon',Sapindaceae,Tree,"10 ft. tall, 10 ft. wide",Partial,Loamy,Acidic,Spring,Red,5-8 (USDA),"Cultivar, no native range",
17,"Red hot poker, torch lily, torch flower, African flame flower, Devil's poker",Kniphofia,Asphodelaceae,"Herbaceous, perennial","3-4 ft. tall, 2-3 ft. wide",Full,Well-drained,Neutral,"Spring, summer","Red, yellow, orange",05-Sep,South Africa,
18,"Red maple, swamp maple, water maple, Drummond red maple, scarlet maple, Carolina red maple, trident red maple, soft maple",Acer rubrum,Sapindaceae,Tree,"40-70 ft. tall, 30 -50 ft. wide","Full, partial","Sandy, clay, well-drained",Acidic,Spring,Red,3-9 (USDA),North America,Toxic to horses and ponies
19,Red Mulberry,Morus rubra,Moraceae,Tree,"35-50 ft. tall, 30-40 ft. wide",Partial to Full,"Moist, Well-drained",Neutral to Basic,March to April,Green,4-8 (USDA),North America,
20,Red Oak,Quercus rubra,Fagaceae,Deciduous tree,50-75 ft. tall,"Full sun, partial shade","Fertile, Sandy, Dry, Well Draining",Acidic,May,Yellowish-Green,"4-8, USDA",Eastern North America,
21,"Common poppy, corn poppy, corn rose, field poppy, Flanders poppy, red poppy",Papaver rhoeas,Papaveraceae,Annual,28 in. tall,"Full, partial",Well-drained,Neutral to acidic,"Spring, summer","Red, yellow, orange, pink, blue, purple, white",1-10 (USDA),"Europe, Asia, Africa",Toxic to pets
22,"Red spider lily, naked lily, hurricane lily",Lycoris radiata,Amaryllidaceae,"Herbaceous, perennial","1-2 ft. tall, 12-18 in. wide","Full, partial","Well-drained, sandy, loamy","Acidic, neutral alkaline","Summer, fall",Red,6-10 (USDA),Asia,"Toxic to humans, toxic to pets"
23,'Red Sunset' maple,Acer rubrum 'Franksred',Sapindaceae,Deciduous tree,"40–50 ft. tall, 30–40 ft. wide","Full, partial","Rich, moist but well-drained",Acidic to slightly acidic (4.5 to 6.5),Spring,"Red on the female, yellow on the male (not showy)",3–9 (USDA),Nursery cultivar; Acer rubrum is native to North America,
24,Summer savory,Satureja hortensis,,Annual herb,12-24 in. tall,Full sun,Loamy,6.6-7.5,Summer,"Pink, lilac, or white",1-11 (USDA),"Eastern Mediterranean, the Caucasus",
25,"Red tip photinia, Fraser photinia",Photinia x fraseri,Rosaceae,Shrub,10–15 ft. tall and wide,"Full, partial","Loamy, well-drained","Slightly acidic, neutral (6.0 to 7.5)",Spring,White,7–9 (USDA),Asia,
26,"Red-twig dogwood, red osier dogwood, Tatarian dogwood","Cornus servicea, Cornus alba, or Cornus sanguinea",Cornaceae,Deciduous flowering shrub,"6–9 feet tall, 8–12 feet wide",Full sun to part shade,"Fertile, moist soil",5.5 to 6.6 (slightly acidic),Spring,White,3–8 (USDA),North America,
27,"Resurrection lily, surprise lily, magic lily, naked lady",Lycoris squamigera,Amaryllidaceae,"Perennial, bulb","1.5 to 2 ft. tall, 1.5 to 2 ft. wide",Full sun to partial shade,"Well-drained, sandy, loamy",Neutral to acidic (6.5),Summer,"White, rose pink with a hint of lilac",5 to 9,Asia,
28,"Resurrection plant, Rose of Jericho, false Rose of Jericho, stone flower, dinosaur plant",Selaginella lepidophylla,Selaginellaceae,Perennial,"2-6 in. tall, 3-6 in. wide",Full,None needed,,,,10,North America,
29,"Dwarf Iris, Netted Iris, Reticulated Iris",Iris reticulata,Iridaceae,"Perennial, bulb","4-6 in. tall, 4 in. wide","Full, Partial","Loamy, Sandy, Well-drained","Neutral, Alkaline",Spring,"Purple, Blue","5-9, USA","Europe, Asia, Middle East","Toxic to people, toxic to pets"
30,Rex begonia,Begonia rex-cultorum,Begoniaceae,Herbaceous perennial,"12-18 in. tall, similar spread",Part shade to full shade,Porous,5.7-6.2 (more acidic),Not grown for flowers,Not grown for flowers,10-12 (USDA),"Northeastern India, southern China, and Vietnam",Toxic to animals
31,Rhubarb,Rheum rhabarbarum or Rheum × hybridum,Polygonaceae,"Vegetable, perennial",2–3 ft. tall; 3–4 ft. wide,"Full sun, partial sun","Moist, well-drained","Acidic, neutral (6.0–7.0)","Spring, summer",,3–8 (USDA),Asia,Leaves are toxic to people and pets
32,"Ribbon grass, reed canary grass",Phalaris arundinacea var. 'Picta'.,Poaceae,Perennial ornamental grass,1-3 ft. tall,"Full, partial","Loamy, clay, sandy, well-drained, moist","Acidic, neutral, alkaline",Summer,"Green, but insignificant",4-9 (USDA),"Europe, North America",
33,"River birch, water birch, black bird, red birch",Betula nigra,Betulaceae,Tree,"40–70 ft. tall, 40–60 ft. wide","Full, partial",Moist,Acidic,,,4–9 (USDA),North America,
34,"Robellini palm, pygmy date palm, miniature date palm",Phoenix roebelenii,,Tree,"6-12 ft. tall, 5-10 ft. wide","Full sun, partial sun",Moist but well-drained,"Acidic, neutral, alkaline",Spring,Creamy white,"9a, 9b, 10a, 10b, 11a, 11b",Asia,
35,"Bear's Breeches, Oyster Plant",Acanthus mollis,Acanthaceae,"Perennial, herbaceous","3-6 ft. tall, 3-6 ft. wide","Full, partial",Moist but well-drained,"Acidic, neutral, alkaline","Spring, summer","White, purple",6-10 (USDA),"Europe, Mediterranean",
