web-scraper-order,web-scraper-start-url,link,link-href,Light,Soil,Water,Temperature and Humidity,Fertilizer,How to Grow
"1667985606-17413","https://www.thespruce.com/plants-a-to-z-5116344","Zz Plant Zamioculcas zamiifolia","https://www.thespruce.com/zz-zanzibar-gem-plant-profile-4796783","ZZ plants are tolerant of a wide range of lighting conditions, which makes them well-suited to indoor growing. The plants can grow in low-light conditions. They can quickly become leggy if not given enough light. When placing the plant in your house, choose a bright, indirect light spot, preferably in a room with south-facing windows. Avoid direct sunlight, as this can scorch the leaves of your plants.","","","","",""
"1667985606-17414","https://www.thespruce.com/plants-a-to-z-5116344","Zz Plant Zamioculcas zamiifolia","https://www.thespruce.com/zz-zanzibar-gem-plant-profile-4796783","","ZZ plants are tolerant of a wide range of lighting conditions, which makes them well-suited to indoor growing. The plants can grow in low-light conditions. They can quickly become leggy if not given enough light. When placing the plant in your house, choose a bright, indirect light spot, preferably in a room with south-facing windows. Avoid direct sunlight, as this can scorch the leaves of your plants.","","","",""
"1667985606-17415","https://www.thespruce.com/plants-a-to-z-5116344","Zz Plant Zamioculcas zamiifolia","https://www.thespruce.com/zz-zanzibar-gem-plant-profile-4796783","","","ZZ plants are not overly picky about their potting medium as long as it is well-draining. Most standard potting mixes should be sufficient for your plant. If additional drainage is required, mixing in perlite or sand will help.","","",""
"1667985606-17416","https://www.thespruce.com/plants-a-to-z-5116344","Zz Plant Zamioculcas zamiifolia","https://www.thespruce.com/zz-zanzibar-gem-plant-profile-4796783","","","","These plants are highly drought-tolerant and can handle infrequent watering thanks to their thick rhizomes. You should generally water zz plants once the soil dries out completely—usually once every two weeks, depending on their growing conditions. It's better to water your plant less than give it too much water. When watering, wet the soil thoroughly until the water is running out of the drainage hole at the bottom of the pot. Get rid of the excess water.","",""
"1667985606-17417","https://www.thespruce.com/plants-a-to-z-5116344","Zz Plant Zamioculcas zamiifolia","https://www.thespruce.com/zz-zanzibar-gem-plant-profile-4796783","","","","","Average household temperatures and humidity are acceptable for Zanzibar gems. ZZ plants do not tolerate cold temperatures well (no lower than 45 degrees Fahrenheit), so avoid placing your plant in a location close to drafts or particularly cold areas of your home. ZZ plants don't require humid conditions, but if your home runs on the dry side, consider increasing the humidity around your plant by purchasing a humidifier or placing it on top of a tray filled with pebbles and water.",""
"1667985608-17418","https://www.thespruce.com/plants-a-to-z-5116344","Zygopetalum Orchid Zygopetalum","https://www.thespruce.com/zygopetalum-orchid-growing-guide-5222908","","","","","This orchid will also benefit from regular misting when not in bloom. Best humidity levels range between 60 and 70 percent with up to 80 percent humidity in summer. Mist your orchids in the morning to help the leaves dry before nightfall. Wet foliage can lead to stem decline and flower loss. Avoid misting when in bloom to discourage botrytis petal blight.",""
"1667985611-17419","https://www.thespruce.com/plants-a-to-z-5116344","Zonal Geranium Pelargonium and hybrids","https://www.thespruce.com/growing-and-caring-for-annual-geranium-plants-1402908","","","","","","Fill a planting tray with moistened seed-starting mix and sow the seeds over the surface. Add a thin dusting of additional seed-starting mix over the tops of the seeds.Cover the tray with plastic wrap or a clear plastic dome, then set the tray in a bright area where temperatures are consistently between 72 and 76 degrees Fahrenheit.When the seedlings sprout, begin removing the dome for short periods each day to allow moisture to escape and to prevent damping-off fungus.When the seedlings have at least two sets of true leaves, transplant them into their own small pots, burying the cotyledon leaves under the soil.Place the plants in a very bright location or under grow lights and water them daily. Feed the seedlings weekly with a very weak houseplant food dilution.As spring arrives, harden off the plants for seven days before transplanting them outdoors."
"1667985611-17420","https://www.thespruce.com/plants-a-to-z-5116344","Zonal Geranium Pelargonium and hybrids","https://www.thespruce.com/growing-and-caring-for-annual-geranium-plants-1402908","","","","","","Take the plants from the ground or containers in the fall before the first frost,Shake the soil from their bare roots.Gently put the plants in a large paper bag.Store the geraniums in a dark, cool location that stays consistently around 50 to 55 degrees Fahrenheit for the winter.In March, remove the dead stem tips by cutting until you reach firm, green stem.Plant these cuttings in containers. Place the containers in a sunny window and water as needed.Plant them outside in May or after the threat of frost has passed."
"1667985614-17421","https://www.thespruce.com/plants-a-to-z-5116344","Zinfin Doll Hydrangea Hydrangea paniculata 'SMNHPRZEP' Zinfin Doll","https://www.thespruce.com/zinfin-doll-hydrangea-plant-profile-4844198","You'll see the best growth out of your hydrangeas when the daytime temps are near 70 degrees Fahrenheit and the nighttime temperatures don't drop below 60 degrees Fahrenheit. Several weeks of temperatures consistently below 65 degrees in the fall will allow buds to set, which encourages profusions of blooms. It will go dormant in temperatures below 45 degrees Fahrenheit. It can handle a wide range of humidity levels.","","","","",""
"1667985614-17422","https://www.thespruce.com/plants-a-to-z-5116344","Zinfin Doll Hydrangea Hydrangea paniculata 'SMNHPRZEP' Zinfin Doll","https://www.thespruce.com/zinfin-doll-hydrangea-plant-profile-4844198","","You'll see the best growth out of your hydrangeas when the daytime temps are near 70 degrees Fahrenheit and the nighttime temperatures don't drop below 60 degrees Fahrenheit. Several weeks of temperatures consistently below 65 degrees in the fall will allow buds to set, which encourages profusions of blooms. It will go dormant in temperatures below 45 degrees Fahrenheit. It can handle a wide range of humidity levels.","","","",""
