web-scraper-order,web-scraper-start-url,plantsLinks,plantsLinks-href
"1665403077-1","https://www.thespruce.com/plants-a-to-z-5116344","Abelia Abelia","https://www.thespruce.com/abelia-growing-guide-5216289"
"1665403077-2","https://www.thespruce.com/plants-a-to-z-5116344","Acoma Crape Myrtle Lagerstroemia x 'acoma'","https://www.thespruce.com/growing-acoma-crape-myrtle-5076300"
"1665403077-3","https://www.thespruce.com/plants-a-to-z-5116344","Aeonium Aeonium","https://www.thespruce.com/growing-aeonium-plants-1402873"
"1665403077-4","https://www.thespruce.com/plants-a-to-z-5116344","Aerangis Orchids Aerangis","https://www.thespruce.com/grow-aerangis-orchids-1902580"
"1665403077-5","https://www.thespruce.com/plants-a-to-z-5116344","African Daisy Osteospermum x hybrida","https://www.thespruce.com/growing-and-caring-for-african-daisies-1402912"
"1665403077-6","https://www.thespruce.com/plants-a-to-z-5116344","African Fern Pine Afrocarpus gracilior","https://www.thespruce.com/growing-fern-pine-in-home-garden-3269272"
"1665403077-7","https://www.thespruce.com/plants-a-to-z-5116344","African Mask Alocasia x amazonica","https://www.thespruce.com/amazon-elephants-ear-alocasia-amazonica-overview-1902737"
"1665403077-8","https://www.thespruce.com/plants-a-to-z-5116344","African Milk Tree Euphorbia trigona","https://www.thespruce.com/african-milk-tree-profile-4846360"
"1665403077-9","https://www.thespruce.com/plants-a-to-z-5116344","African Spear Plant Sansevieria cylindrica","https://www.thespruce.com/grow-sansevieria-cylindrica-1902732"
"1665403077-10","https://www.thespruce.com/plants-a-to-z-5116344","Agastache Agastache","https://www.thespruce.com/agastache-plant-profile-5191192"
"1665403077-11","https://www.thespruce.com/plants-a-to-z-5116344","Agave Agave","https://www.thespruce.com/agave-tips-for-growing-this-easy-succulent-1402874"
"1665403077-12","https://www.thespruce.com/plants-a-to-z-5116344","Aglaonema Pictum Tricolor Aglaonema Pictum Tricolor","https://www.thespruce.com/aglaonema-pictum-tricolor-care-guide-6362586"
"1665403077-13","https://www.thespruce.com/plants-a-to-z-5116344","Air Plant Tillandsia cacticola","https://www.thespruce.com/growing-tillandsia-cacticola-5085075"
"1665403077-14","https://www.thespruce.com/plants-a-to-z-5116344","Air Plant Tillandsia kolbii","https://www.thespruce.com/growing-tillandsia-kolbii-5085071"
"1665403077-15","https://www.thespruce.com/plants-a-to-z-5116344","Air Plant Tillandsia stricta","https://www.thespruce.com/growing-tillandsia-stricta-5085259"
"1665403077-16","https://www.thespruce.com/plants-a-to-z-5116344","Ajuga Ajuga reptans","https://www.thespruce.com/ajuga-or-bugleweed-plants-2132213"
"1665403077-17","https://www.thespruce.com/plants-a-to-z-5116344","Aleppo Pine Pinus halepensis","https://www.thespruce.com/growing-aleppo-pine-pinus-halepensis-3269312"
"1665403077-18","https://www.thespruce.com/plants-a-to-z-5116344","Algerian Ivy Hedera algeriensis","https://www.thespruce.com/algerian-ivy-plant-profile-4843270"
"1665403077-19","https://www.thespruce.com/plants-a-to-z-5116344","Alligator Juniper Juniperus deppeana","https://www.thespruce.com/how-to-grow-and-care-for-alligator-juniper-5079979"
"1665403077-20","https://www.thespruce.com/plants-a-to-z-5116344","Almond Tree Prunus dulcis","https://www.thespruce.com/how-to-grow-almond-trees-4779869"
"1665403077-21","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia Alocasia","https://www.thespruce.com/grow-alocasia-indoors-1902735"
"1665403077-22","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia 'Tiny Dancer' Alocasia 'Tiny Dancer'","https://www.thespruce.com/alocasia-tiny-dancer-guide-5498869"
"1665403077-23","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia Baginda 'Silver Dragon' Alocasia Baginda 'Silver Dragon'","https://www.thespruce.com/alocasia-silver-dragon-growing-guide-5524759"
"1665403077-24","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia Black Velvet Alocasia Reginula 'Black Velvet'","https://www.thespruce.com/how-to-grow-and-care-for-alocasia-black-velvet-5235406"
"1665403077-25","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia Dragon Scale Alocasia Baginda 'Dragon Scale'","https://www.thespruce.com/alocasia-dragon-scale-growing-guide-5272502"
"1665403077-26","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia Frydek Alocasia Micholitziana 'Frydek'","https://www.thespruce.com/alocasia-frydek-growing-guide-5225402"
"1665403077-27","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia Macrorrhiza ‘Stingray’ Alocasia Macrorrhiza ‘Stingray’","https://www.thespruce.com/alocasia-stingray-care-guide-6281346"
"1665403077-28","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia Maharani Alocasia Maharani","https://www.thespruce.com/alocasia-maharani-care-guide-5443058"
"1665403077-29","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia Zebrina Alocasia Zebrina","https://www.thespruce.com/alocasia-zebrina-growing-guide-5323306"
"1665403077-30","https://www.thespruce.com/plants-a-to-z-5116344","Alocasia ‘Regal Shield’ Alocasia ‘Regal Shield’","https://www.thespruce.com/alocasia-regal-shield-care-guide-5521625"
