commonName,botanicalName,family,plantType,size,sunExposure,soilType,soilPH,hardinessZones,nativeArea,image,site,matureSize,bloomTime,flowerColor,toxicity
Broccoli,Brassica oleracea var. italica,Brassicaceae,"Biennial, annual, vegetable","18–30 in. tall, 12–24 in. wide",Full sun,"Moist, loamy, well-drained","Acidic, neutral",2–11 (USDA),"Mediterranean, Asia",https://www.thespruce.com/thmb/zAlH0njnCwsySSpyJ7jB8RHJJ-4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-broccoli-plants-in-the-vegetable-garden-1403457-01-f02156f7788d4198b58a94016c5d220e.jpg,Broccoli Brassica oleracea.json,"18–30 in. tall, 12–24 in. wide",,,
"Cordyline, Hawaiian ti plant, good luck plant",Cordyline terminalis,Asparagaceae,Evergreen shrub,,"Full-sun, partial sun",Well-draining,6.0-6.5,9-11 (USDA),"Pacific Islands, Southeast Asia",https://www.thespruce.com/thmb/C3YHXS44ooRUqA2uRlF2lWIc4t8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-cordyline-indoors-1902747-hero-011-05fac05cfe2845309cc8840a4cc87bbc.jpg,Cordyline Cordyline terminalis.json,3-6 ft. tall and wide,Summer,"White, pink, lavender",Highly toxic to dogs and cats
"Angel’s trumpet, pricklyburr, downy thorn apple, desert thorn apple, Indian apple, moonflower, sacred datura, jimson weed","Datura inoxia, Datura innoxia",Solanaceae,"Herbaceous, perennial",,Full,"Loamy, well-drained","Neutral, alkaline",9–10 (USDA),"North America, Central America, South America",https://www.thespruce.com/thmb/u5XoOHRdFeODIMr65eZkLHq-OdQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-angels-trumpet-indoors-1902439-hero-acfde09c625a488d94270f75157c180d.jpg,Angel Trumpet Datura Daturainoxia.json,"2–3 ft. tall, 3–6 ft. wide","Summer, fall","White, pink, purple","Toxic to people, toxic to pets"
Dahlia,Dahlia spp.,Asteraceae,Perennial,,Full,"Loamy, well-drained","Neutral, acidic",8-10 (USDA),"North America, Central America",https://www.thespruce.com/thmb/VHRsY2VDI41pgrZ7w8Onbls_pxY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-and-caring-for-dahlias-1402255-03-306dc2f2b09849189998f1bbe86b2a44.jpg,Dahlia Dahlia.json,"1-6 ft. tall, and 1-3 ft. wide","Summer, fall","Red, pink, orange, yellow, purple, white",Toxic to dogs and cats
Mastic Tree,Pistacia lentiscus,Anacardiaceae,Broadleaf Evergreen,,Full sun,"Dry, Sandy, Well Draining",Alkaline,"Zones 9-11, USDA",Mediterranean area,https://www.thespruce.com/thmb/yQhnKscLymu6KxtwVEbiAJk9HUg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/mayapple-native-shade-plant-4125670-hero-2a09d12c60964524a623dda7447b3c37.jpg,Mastic Tree Pistacia lentiscus.json,"15-25 ft. tall,, 20- 30 ft. wide",Spring,Inconspicuous green,
"Red button ginger, Indian head ginger, scarlet spiral flag. red cane",Costus woodsonii,Costaceae,"Perennial, herbaceous, rhizome",,Partial sun to partial shade,Moist but well-drained,Neutral to acidic,9–11 (USDA),Central America,https://www.thespruce.com/thmb/RMC0bRS4hvs1HCkmNuftOwrJ-6k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/spotted-bee-balm-growing-guide-5323120-hero-76210e77ae7942a98a26fc6d90d9f531.jpg,Spiral Ginger Costus woodsonii.json,"3–6 ft. tall, 2–3 ft. wide",Summer,Yellow-orange,
Bamboo palm,Chamaedorea seifrizii,,"Perennial, clustered parlour palm, reed palm, cane palm",,"Partial, shade",Moist but well-drained,"Acidic, neutral","10-11, USA",Central America,https://www.thespruce.com/thmb/414Bn0xSyfj9-YwgWl7XTQrO4_E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-golden-bamboo-5077107-06-acb4bd1b5f46465d94e00d17ed0b025c.jpg,Bamboo Palm Chamaedorea seifrizii.json,"4-12 ft. tall, 3-5 ft. wide","Spring, summer","Yellow, orange",
"Cornelian cherry dogwood, cornelian cherry, European cornel",Cornus mas,,Deciduous shrub/ tree,,Full sun to part shade,"Medium moisture, well-drained soil",5.0 to 8.0 (acidic to slightly alkaline),4 to 8 (USDA),"Southwestern Asia, Southern Europe",https://www.thespruce.com/thmb/5A3RVU_DPTzbfdY7GgY6axs22R8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/cornelian-cherry-growing-profile-3269225_08-bff0fc06652b46298a2638c530fdf92b.jpg,Cornelian Cherry Cornus mas.json,15 to 25 feet tall; 15- to 20-foot spread,March,Yellow,
"Malabar spinach, Indian spinach, Ceylon spinach, vine spinach, climbing spinach",Basella alba,Basellaceae,Vegetable,"6 to 10 ft. long, 2 to 3 ft. wide",Full sun,"Loamy, sandy, moist but well-drained",Neutral to acidic (6.5 to 6.8),"7-10, USA","Tropical south and southeast Asia, Indian subcontinent",https://www.thespruce.com/thmb/Uq2s8SMJF9nVJMhMG7esY4oJ0pw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-dipladenia-or-mandevilla-in-containers-847910-03-a1d395bb466d47dc8d5359ca56bdda20.jpg,Malabar Spinach Basella alba.json,"6 to 10 ft. long, 2 to 3 ft. wide",,,
Parsnip,Pastinaca sativa,Apiaceae,"Biennial, vegetable","1–3 ft. tall, 6–12 in. wide","Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral (6 to 7)",2–9 (USDA),"Europe, Asia",https://www.thespruce.com/thmb/MQxo7A9XVsT79Mx2B8Rl6mB1z9k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/passion-flowers-1403114-10-681ebee8169f49a89e9c8425983eea92.jpg,Parsnip Pastinaca sativa.json,"1–3 ft. tall, 6–12 in. wide",Summer (second year),,Toxic to people
